% continuousInputs: false
% addNoisyInputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class smodelkit.SyntheticDataGenerator$LimitedOutputsGenerator
% numOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputs = 3
% numOutputVectors = 20
@RELATION 'synthetic_data -c -3'
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h}
@ATTRIBUTE class2 {e, f, g, h}
@ATTRIBUTE class3 {e, f, g, h}
@DATA
b, d, b, g, e, f
a, c, c, h, f, f
c, b, d, e, e, g
c, b, b, g, e, f
a, b, c, g, e, g
b, a, d, g, h, g
a, d, c, f, h, h
c, b, a, g, e, e
c, a, d, f, h, g
c, c, b, h, g, h
d, b, a, g, e, f
b, a, b, g, e, f
a, a, c, g, e, f
c, b, d, g, e, e
d, d, c, e, e, e
a, c, d, h, f, f
b, d, b, g, e, f
c, c, b, e, f, h
a, c, d, h, e, f
d, b, a, g, e, f
d, b, a, g, h, f
a, c, d, h, e, f
c, c, b, h, g, h
c, a, b, e, f, h
d, d, b, g, e, f
c, a, c, g, e, g
a, d, c, e, h, h
b, b, c, h, h, h
a, c, d, h, e, f
a, a, c, g, e, f
a, c, b, g, e, f
a, c, d, h, e, e
b, d, b, g, e, f
a, d, c, e, h, h
b, b, a, g, e, f
a, c, d, h, e, f
a, c, d, h, e, f
c, c, d, e, f, g
c, c, b, h, g, h
b, b, a, h, e, f
d, a, d, e, h, g
a, c, d, h, h, f
d, b, a, g, e, f
a, b, c, h, g, h
a, c, d, h, e, f
a, b, c, g, e, g
c, b, a, e, f, g
d, c, b, e, h, h
d, b, a, g, e, f
d, b, a, g, e, g
b, d, d, h, f, g
d, b, a, g, f, f
b, a, a, e, f, h
a, c, d, h, e, f
a, d, c, h, h, h
b, b, a, h, e, f
c, b, a, h, f, g
b, d, c, e, h, h
c, d, c, h, f, g
d, a, c, g, h, f
a, d, c, h, h, h
b, b, a, h, e, f
a, a, c, g, f, f
b, d, d, h, f, g
b, b, a, g, e, f
a, c, d, h, e, f
d, b, a, g, e, g
d, a, d, h, f, g
c, c, b, h, g, h
c, d, c, h, f, g
b, c, d, f, f, g
d, c, b, e, h, h
a, c, d, h, e, f
b, b, d, f, f, g
a, d, d, h, h, h
b, a, c, g, f, f
d, b, c, h, g, h
a, c, d, h, e, f
d, b, d, g, e, f
a, c, d, h, e, f
d, b, a, g, f, g
